id,title,gender,origin_id,meaning,used_in,additional_info
1,Aaliyah,Girl,3,"Lofty, sublime, exalted",Arabic and English speaking countries,"This particular spelling of the name Aliyah is extremely popular in the U.S., probably due to its association with the late singer and actress Aaliyah."
2,Aaron,Boy,23,Mountain,English speaking countries,"Anglicisation of the Hebrew Aharon.  In the Bible, Aaron was the brother of Moses. It is the name of 'the Moor', the lover of Tamora, in Shakespeare's 'Titus Andronicus'. Other famous bearers include TV producer Aaron Spelling, pop singer Aaron Carter and"
3,Abagail,Girl,23,Father in rejoicing,English speaking countries,A modern respelling of Abigail.
4,Abbey,Both,23,Father in rejoicing,English speaking countries,"A nickname for Abigail, and also a surname from Middle English originally used for someone who worked at an abbey. Abbey is also the name of a British bank."
5,Abbie,Girl,23,Father in rejoicing,English speaking countries,Nickname for Abigail.
6,Abbigail,Girl,23,Father in rejoicing,English speaking countries,Respelling of Abigail.
7,Abby,Girl,23,Father in rejoicing,English speaking countries,Nickname for Abigail.
8,Abdul,Boy,3,The servant; the servant of,Arabic and English speaking countries,
9,Abdullah,Boy,3,Servant of Allah,Arabic and English speaking countries,"Abdullah is a common Arabic name derived from ""abd-,"" the Arabic word for ""servant,"" and the name of Allah.  It has several variant transliterations into English, each of which is perfectly acceptable, though some are more common than others.  As with man"
10,Abel,Boy,23,Breath,English and Spanish speaking countries,"According to the Bible, Abel has the distinction of being the first murder victim in history, having been slain by his brother, Cain. He was also considered to be the first shepherd or keeper of animals. The Bible indicates that he was the first person to"
11,Abigail,Girl,23,Father in rejoicing,English and Hebrew speaking countries,"Abigail was an Old Testament character who saved her negligent husband from the wrath of King David. After her husband's death, she later married David.  David's sister was also named Abigail.  <br />
<br />
Abigail was quite commonly used in English-sp"
12,Abigale,Girl,23,Father in rejoicing,English speaking countries,A respelling of Abigail.
13,Abigayle,Girl,23,Father in rejoicing,English speaking countries,A respelling of Abigail.
14,Abraham,Boy,23,Father of a multitude or many nations,English speaking countries,"In the Bible, Abraham was originally named Abram, but was bestowed the name of Abraham by God for he wanted him to be the ""father of many nations"". Abraham was married to Sarah and had eight sons. He is said to be the father of the Jewish nations through"
15,Abram,Boy,23,Father of a multitude or many nations,English and Yiddish speaking countries,"Abram was the original name of Abraham in the Bible.  God renamed him thusly: ""No longer shall your name be Abram, but your name shall be Abraham, for I have made you the father of many nations"".  Abram means ""exalted father"", where Abraham means ""father"
16,Abril,Girl,27,Open,English speaking countries,"Spanish vocabulary word for ""April"", used as a name by some."
17,Acacia,Girl,21,Point; spine; thorn,English speaking countries,"Acacia is a genus of flowering trees and shrubs.  The name is derived from the Greek word  ""ake,"" ""point,"" referring to the sharp spines that grow on some species of acacia.<br />
<br />
In the Victorian language of flowers, acacia signified friendship,"
18,Ace,Boy,27,One; one unit,English speaking countries,"""Ace"" comes from the Latin ""as,"" which was the name for a small-denomination Roman coin.  In English vernacular, an ""ace"" is a very skilled person; it is also synonymous with ""cool,"" in UK usage. ""Ace"" can also be: a suit of playing cards; a fighter pilot"
19,Ada,Girl,20,Noble kind; of the noble sort,"African, English, Hebrew and Polish speaking countries","Ada (AH dah) is a Hebrew biblical name meaning ""adornment"". An English form of the name is Adah. Ada was the wife of Lamech and the mother of Jabal and Jubal. Another Ada was a wife of Esau and the daughter of Elon the Hittite. It can also be a short form"
20,Adalyn,Girl,20,N/A,English speaking countries,"Although some link this name to ""Adaline"" or ""Adelaide"", the true origin of this modern name is more likely what is found in ""Marilyn"" and ""Arilyn/Aralyn"", or ""Madison"" and ""Adison"" where a popular name is modified by dropping the first letter to give the"
21,Adam,Boy,23,Man; earth; to be red,"English, Hebrew and Polish speaking countries","In Hebrew this is a generic word for 'man' not used as a name, but it is also associated with 'adama' (earth), from which God was supposed to have made the first humans. According to the Bible Adam and Eve were the first humans, and lived in the Garden of"
22,Adan,Boy,23,Man; earth,English and Spanish speaking countries,"A Spanish form of Adam, Adan is sometimes used in the US as a variant spelling of Aidan or Aodhán.  It should be noted, however, that Adan is not pronounced in the same way as Aidan or Aodhán."
23,Addison,Both,15,Son of Adam,English speaking countries,"Addison, which means 'son of Adam', is one of the surnames which has been enthusiastically taken up in the current trend to find 'unique' names for baby girls. It has been climbing the American charts since 1994 and in 2006 was the 27th most popular name"
24,Addyson,Girl,15,Son of Adam,English speaking countries,"Addisyn is a respelling of the surname Addison, which means 'son of Adam'. The creation has been influenced by the modern trend of replacing vowels with the letter Y, believed by some to ""make a name (more) feminine"". This is also touted as ""making a name"
25,Adelaide,Girl,20,Noble kind; of the noble sort,English speaking countries,"This name was imported to England by Adelaide of Saxe-Meiningen, the wife of William IV of Great Britain. She gave her name to the South Australian city of Adelaide.  In contemporary literature of the time, Adelaide was frequently used as a name for upper"
26,Adele,Girl,20,Noble,English and French speaking countries,"In French spelt with a grave accent: 'Adèle'.  <br />
<br />
Adele was the name of Jane's flighty but charming charge in Charlotte Brontë's novel ""Jane Eyre.""<br />
<br />
'Portrait of Adele Bloch-Bauer I' by Gustav Klimt is one of the most expensive"
27,Adeline,Girl,20,Noble,English and French speaking countries,"A Norman name that came back into fashion in the nineteenth century.  Adeline's popularity continued well into the early twentieth century, perhaps partly due to the song ""Sweet Adeline.""  It fell out of favor in English-speaking countries in the mid-twen"
28,Aden,Boy,18,Little fire,English speaking countries,Modern respelling of Aidan.
29,Adilene,Girl,19,Noble one,English speaking countries,
30,Adin,Both,23,Slender; voluptuous,"African, English, Hebrew and Swahili speaking countries","Adin is a masculine Hebrew name meaning either ""slender"" or ""voluptuous.""  <br />
In the Old Testament Adin (also found as Adina - which is now the feminine form) was a son of Shiza and one of King David’s warriors (I Chronicles 11:42).<br />
Adin is al"
31,Aditya,Boy,39,Belonging to Aditi; sun,English and Hindi speaking countries,In Hindu mythology Aditya was the name of 33 of Aditi's children. See Aditi for more information.
32,Adolfo,Boy,15,Noble wolf,"English, Italian and Spanish speaking countries",Adolfo is a Spanish and Italian variant of the Germanic name Adolf.
33,Adonis,Boy,34,Lord,"English, Greek and Spanish speaking countries",Adonis was the name of the Phoenician god of spring. In Greek mythology Adonis was the name of a boy loved by Aphrodite. The name is derived from the Phoenician 'adon' (lord).
34,Adria,Girl,27,From Hadria,English speaking countries,
35,Adrian,Boy,27,From Hadria,English and German speaking countries,"Adrian was the name of several early Christian saints and martyrs.  It is derived from the Latin name ""Hadrianus,"" which is more familiar to English speakers as ""Hadrian."" There have been six Popes named Adrian, including Adrian IV, the only Englishman to"
36,Adriana,Girl,27,From Hadria,English and Spanish speaking countries,"Adriana is a main character of Shakespeare's play ""The Comedy of Errors"".<br />
<br />
Adriana Lima is a Brazilian model, and Adriana Barraza is a Mexican actress."
37,Adriane,Girl,27,From Hadria,English speaking countries,
38,Adrianna,Girl,27,From Hadria,English speaking countries,"Adrianna is a variant of Adriana, the Spanish and Italian form of Adrian. <br />
<br />
Adrianna Costa is an American television presenter."
39,Adrianne,Girl,27,From Hadria,English speaking countries,
40,Adriano,Boy,27,From Hadria,English and Italian speaking countries,
41,Adriel,Boy,23,Followers of God; God's flock,English and Hebrew speaking countries,"Occasionally the meaning is given as ""God is my majesty,"" but ""followers of God"" is more likely. In the Bible, Adriel was the son-in-law of Saul. Very occasionally used for a girl in English-speaking contexts, although the name is masculine."
42,Adrien,Boy,27,From Hadria,English and French speaking countries,"Adrien is the French equivalent of the English Adrian, but this spelling is sometimes used by English-speaking parents."
43,Adrienne,Girl,27,From Hadria,English and French speaking countries,Famous bearers include  former Governor-General of Canada Adrienne Clarkson and American feminist Adrienne Rich. Adrienne Shelly was an American actress and film director.
44,Ahmad,Boy,3,Worthy of praise; more commendable,English speaking countries,
45,Ahmed,Boy,3,Worthy of praise,English speaking countries,
46,Aidan,Boy,18,Little fire,English and Gaelic speaking countries,"Anglicized form of Aodhán. When combined with variants like Aiden, Ayden, Aydan, and Aden, Aidan was the most popular name for boys in the U.S. in 2006.<br />
<br />
St Aidan was the founder of the monastery of Lindisfarne in north England. He is credit"
47,Aiden,Boy,18,Little fire,English speaking countries,"A modern respelling of Aidan.  May also be a variant of Eden.  When combined with variants like Ayden, Aydan, and Aden, Aiden was the most popular name for boys in the U.S. in 2006."
48,Aidyn,Boy,18,Little fire,English speaking countries,"A modern respelling of Aidan, mostly seen in the US and Canada."
49,Aileen,Girl,18,Form of Helen; Evelyn; Aveline; pleasant,English and Gaelic speaking countries,"Scottish variant of Eileen.<br />
<br />
Aileen Wuornos was an American serial killer.<br />
<br />
The name was also born by silent film actress Aileen Pringle."
50,Ainsley,Both,18,Hermitage in or at the clearing or wood,English speaking countries,"A derivative of Ansley, a Scottish surname of a habituation nature. Has enjoyed moderate success in the latest trend of choosing surnames as given names. Traditionally a masculine name, it is sometimes used in these modern times for a girl.<br />
<br />"
51,Aisha,Girl,3,Alive; she who lives,"African, Arabic, English and Swahili speaking countries","A'isha or Aisha was the third and favored wife of Mohammed, and the daughter of Abu Bakr, the first caliph.<br />
<br />
Aisha Tyler is an American actress."
52,Aislinn,Girl,18,Dream,English speaking countries,Respelling of the Gaelic word 'aisling'.
